"year","percentile","contraceptive_use_modern","Region","Population"
1970,"50%",0.0138983620143618,"Abia","ALL"
1971,"50%",0.0147177272539971,"Abia","ALL"
1972,"50%",0.0159960382180811,"Abia","ALL"
1973,"50%",0.017218805599099,"Abia","ALL"
1974,"50%",0.0186068436101989,"Abia","ALL"
1975,"50%",0.0201732139019678,"Abia","ALL"
1976,"50%",0.0216835231586803,"Abia","ALL"
1977,"50%",0.0231566908619013,"Abia","ALL"
1978,"50%",0.0250412443288349,"Abia","ALL"
1979,"50%",0.0273539680040646,"Abia","ALL"
1980,"50%",0.0294708368320102,"Abia","ALL"
1981,"50%",0.0313482822704118,"Abia","ALL"
1982,"50%",0.033911662415937,"Abia","ALL"
1983,"50%",0.0361727499739161,"Abia","ALL"
1984,"50%",0.039047026183055,"Abia","ALL"
1985,"50%",0.0417587229237798,"Abia","ALL"
1986,"50%",0.0447830177409796,"Abia","ALL"
1987,"50%",0.0472837819411836,"Abia","ALL"
1988,"50%",0.0498163274906501,"Abia","ALL"
1989,"50%",0.0528343130057627,"Abia","ALL"
1990,"50%",0.0567114079598676,"Abia","ALL"
1991,"50%",0.0604925963086231,"Abia","ALL"
1992,"50%",0.0648606187049272,"Abia","ALL"
1993,"50%",0.0691151260023526,"Abia","ALL"
1994,"50%",0.0743431511917116,"Abia","ALL"
1995,"50%",0.0792139414728407,"Abia","ALL"
1996,"50%",0.083935821030214,"Abia","ALL"
1997,"50%",0.0891653226646194,"Abia","ALL"
1998,"50%",0.0951406134083462,"Abia","ALL"
1999,"50%",0.100854458303123,"Abia","ALL"
2000,"50%",0.106828285906359,"Abia","ALL"
2001,"50%",0.112951661560189,"Abia","ALL"
2002,"50%",0.118362472964493,"Abia","ALL"
2003,"50%",0.124236409769076,"Abia","ALL"
2004,"50%",0.128422703471901,"Abia","ALL"
2005,"50%",0.131476935333733,"Abia","ALL"
2006,"50%",0.134068946245863,"Abia","ALL"
2007,"50%",0.136259036795472,"Abia","ALL"
2008,"50%",0.140629958051158,"Abia","ALL"
2009,"50%",0.146354944997912,"Abia","ALL"
2010,"50%",0.150192924820873,"Abia","ALL"
2011,"50%",0.152151186940899,"Abia","ALL"
2012,"50%",0.149432839706274,"Abia","ALL"
2013,"50%",0.144761381577925,"Abia","ALL"
2014,"50%",0.138741297618962,"Abia","ALL"
2015,"50%",0.13238055063944,"Abia","ALL"
2016,"50%",0.126071776239942,"Abia","ALL"
2017,"50%",0.122184705310263,"Abia","ALL"
2018,"50%",0.11993008337666,"Abia","ALL"
2019,"50%",0.120671204318075,"Abia","ALL"
2020,"50%",0.124096490140333,"Abia","ALL"
2021,"50%",0.128302095976797,"Abia","ALL"
2022,"50%",0.133393446252505,"Abia","ALL"
2023,"50%",0.137487627637796,"Abia","ALL"
2024,"50%",0.143142841701645,"Abia","ALL"
2025,"50%",0.149131907836864,"Abia","ALL"
2026,"50%",0.154293805272903,"Abia","ALL"
2027,"50%",0.159872514038961,"Abia","ALL"
2028,"50%",0.163998820777886,"Abia","ALL"
2029,"50%",0.168348970017105,"Abia","ALL"
2030,"50%",0.174046594533945,"Abia","ALL"
1970,"50%",0.00612316500188613,"Abuja","ALL"
1971,"50%",0.00665477945339642,"Abuja","ALL"
1972,"50%",0.00736278369773421,"Abuja","ALL"
1973,"50%",0.00802717037078234,"Abuja","ALL"
1974,"50%",0.00887732179018734,"Abuja","ALL"
1975,"50%",0.00970044338720016,"Abuja","ALL"
1976,"50%",0.0105452645337181,"Abuja","ALL"
1977,"50%",0.0116771999057939,"Abuja","ALL"
1978,"50%",0.0126928179369436,"Abuja","ALL"
1979,"50%",0.0136209879081893,"Abuja","ALL"
1980,"50%",0.0149376171305523,"Abuja","ALL"
1981,"50%",0.0163078835360121,"Abuja","ALL"
1982,"50%",0.0176547999206098,"Abuja","ALL"
1983,"50%",0.0195508439580307,"Abuja","ALL"
1984,"50%",0.0208964878238603,"Abuja","ALL"
1985,"50%",0.0228990980749905,"Abuja","ALL"
1986,"50%",0.0248367050105417,"Abuja","ALL"
1987,"50%",0.026812807956396,"Abuja","ALL"
1988,"50%",0.0286373489696299,"Abuja","ALL"
1989,"50%",0.0309029721333047,"Abuja","ALL"
1990,"50%",0.0336127281822009,"Abuja","ALL"
1991,"50%",0.0362089001884239,"Abuja","ALL"
1992,"50%",0.0390510501406069,"Abuja","ALL"
1993,"50%",0.0420458416695326,"Abuja","ALL"
1994,"50%",0.0454617529663593,"Abuja","ALL"
1995,"50%",0.0486948660069663,"Abuja","ALL"
1996,"50%",0.0521521251275924,"Abuja","ALL"
1997,"50%",0.0558976171163504,"Abuja","ALL"
1998,"50%",0.0600571039977309,"Abuja","ALL"
1999,"50%",0.0638866173933298,"Abuja","ALL"
2000,"50%",0.068354076297303,"Abuja","ALL"
2001,"50%",0.0729206557046707,"Abuja","ALL"
2002,"50%",0.0783766352757156,"Abuja","ALL"
2003,"50%",0.0850897379695484,"Abuja","ALL"
2004,"50%",0.0978183369764424,"Abuja","ALL"
2005,"50%",0.111891958293431,"Abuja","ALL"
2006,"50%",0.127837125311709,"Abuja","ALL"
2007,"50%",0.145324645996407,"Abuja","ALL"
2008,"50%",0.161835953641382,"Abuja","ALL"
2009,"50%",0.172099446942141,"Abuja","ALL"
2010,"50%",0.178695076793878,"Abuja","ALL"
2011,"50%",0.180650983023767,"Abuja","ALL"
2012,"50%",0.180829105361722,"Abuja","ALL"
2013,"50%",0.181122719339946,"Abuja","ALL"
2014,"50%",0.180910767200892,"Abuja","ALL"
2015,"50%",0.179580163858794,"Abuja","ALL"
2016,"50%",0.180268673144103,"Abuja","ALL"
2017,"50%",0.180573095859939,"Abuja","ALL"
2018,"50%",0.182137815558815,"Abuja","ALL"
2019,"50%",0.18701762377082,"Abuja","ALL"
2020,"50%",0.193120826743326,"Abuja","ALL"
2021,"50%",0.199237767901087,"Abuja","ALL"
2022,"50%",0.206752134478435,"Abuja","ALL"
2023,"50%",0.213637025694996,"Abuja","ALL"
2024,"50%",0.219890137327382,"Abuja","ALL"
2025,"50%",0.226652899178798,"Abuja","ALL"
2026,"50%",0.232856759737619,"Abuja","ALL"
2027,"50%",0.239305282637134,"Abuja","ALL"
2028,"50%",0.245450550364829,"Abuja","ALL"
2029,"50%",0.250717197115709,"Abuja","ALL"
2030,"50%",0.257531653161191,"Abuja","ALL"
1970,"50%",0.00571347395085978,"Adamawa","ALL"
1971,"50%",0.00619096106047703,"Adamawa","ALL"
1972,"50%",0.00673267495605493,"Adamawa","ALL"
1973,"50%",0.00732277661356675,"Adamawa","ALL"
1974,"50%",0.00801279925575341,"Adamawa","ALL"
1975,"50%",0.00862059720795521,"Adamawa","ALL"
1976,"50%",0.00944022863222462,"Adamawa","ALL"
1977,"50%",0.0102745328489209,"Adamawa","ALL"
1978,"50%",0.0110915691679538,"Adamawa","ALL"
1979,"50%",0.0120865863315938,"Adamawa","ALL"
1980,"50%",0.0129974630729574,"Adamawa","ALL"
1981,"50%",0.013996190008535,"Adamawa","ALL"
1982,"50%",0.015120470598186,"Adamawa","ALL"
1983,"50%",0.0161502143054157,"Adamawa","ALL"
1984,"50%",0.0173535252619818,"Adamawa","ALL"
1985,"50%",0.0186370540459695,"Adamawa","ALL"
1986,"50%",0.0198369254889383,"Adamawa","ALL"
1987,"50%",0.0214417427471927,"Adamawa","ALL"
1988,"50%",0.0226747420750717,"Adamawa","ALL"
1989,"50%",0.024068235648995,"Adamawa","ALL"
1990,"50%",0.0254485297286756,"Adamawa","ALL"
1991,"50%",0.0269442806827513,"Adamawa","ALL"
1992,"50%",0.0284437121754398,"Adamawa","ALL"
1993,"50%",0.0302269820057772,"Adamawa","ALL"
1994,"50%",0.0314394578232602,"Adamawa","ALL"
1995,"50%",0.0330796179301883,"Adamawa","ALL"
1996,"50%",0.0346181266598095,"Adamawa","ALL"
1997,"50%",0.0362629591541013,"Adamawa","ALL"
1998,"50%",0.0373425145267841,"Adamawa","ALL"
1999,"50%",0.038783672090203,"Adamawa","ALL"
2000,"50%",0.0398998933061417,"Adamawa","ALL"
2001,"50%",0.0415056453418839,"Adamawa","ALL"
2002,"50%",0.0426087073998841,"Adamawa","ALL"
2003,"50%",0.043190714564754,"Adamawa","ALL"
2004,"50%",0.0432882609533945,"Adamawa","ALL"
2005,"50%",0.0424491294249373,"Adamawa","ALL"
2006,"50%",0.042869292214764,"Adamawa","ALL"
2007,"50%",0.0430365309775472,"Adamawa","ALL"
2008,"50%",0.0444356545586018,"Adamawa","ALL"
2009,"50%",0.0469869339149786,"Adamawa","ALL"
2010,"50%",0.0498941530038036,"Adamawa","ALL"
2011,"50%",0.0533133323337948,"Adamawa","ALL"
2012,"50%",0.057378114237908,"Adamawa","ALL"
2013,"50%",0.0632154511153556,"Adamawa","ALL"
2014,"50%",0.0725527676013454,"Adamawa","ALL"
2015,"50%",0.0857029465966689,"Adamawa","ALL"
2016,"50%",0.103504944473133,"Adamawa","ALL"
2017,"50%",0.126093435037715,"Adamawa","ALL"
2018,"50%",0.150328776126254,"Adamawa","ALL"
2019,"50%",0.167190024955467,"Adamawa","ALL"
2020,"50%",0.181917216685146,"Adamawa","ALL"
2021,"50%",0.191697896522755,"Adamawa","ALL"
2022,"50%",0.201694982626664,"Adamawa","ALL"
2023,"50%",0.210377876447481,"Adamawa","ALL"
2024,"50%",0.219064392013331,"Adamawa","ALL"
2025,"50%",0.226200193187244,"Adamawa","ALL"
2026,"50%",0.234761702416106,"Adamawa","ALL"
2027,"50%",0.241790811769164,"Adamawa","ALL"
2028,"50%",0.24856902911261,"Adamawa","ALL"
2029,"50%",0.256382472406643,"Adamawa","ALL"
2030,"50%",0.264077383827169,"Adamawa","ALL"
1970,"50%",0.00857754029396795,"AkwaIbom","ALL"
1971,"50%",0.00932277720950249,"AkwaIbom","ALL"
1972,"50%",0.0101829576811266,"AkwaIbom","ALL"
1973,"50%",0.0111660046498895,"AkwaIbom","ALL"
1974,"50%",0.0119567004823033,"AkwaIbom","ALL"
1975,"50%",0.0132078382089359,"AkwaIbom","ALL"
1976,"50%",0.0143372206847766,"AkwaIbom","ALL"
1977,"50%",0.0155786573275219,"AkwaIbom","ALL"
1978,"50%",0.0165856214892311,"AkwaIbom","ALL"
1979,"50%",0.0180938912894949,"AkwaIbom","ALL"
1980,"50%",0.0197084896898757,"AkwaIbom","ALL"
1981,"50%",0.0210609092002967,"AkwaIbom","ALL"
1982,"50%",0.0232108070497361,"AkwaIbom","ALL"
1983,"50%",0.0252390230331449,"AkwaIbom","ALL"
1984,"50%",0.0268830134677106,"AkwaIbom","ALL"
1985,"50%",0.029463182405294,"AkwaIbom","ALL"
1986,"50%",0.0317903929364513,"AkwaIbom","ALL"
1987,"50%",0.0342372510075871,"AkwaIbom","ALL"
1988,"50%",0.0365758632802175,"AkwaIbom","ALL"
1989,"50%",0.0396523196766943,"AkwaIbom","ALL"
1990,"50%",0.0428781366353954,"AkwaIbom","ALL"
1991,"50%",0.0468546964227681,"AkwaIbom","ALL"
1992,"50%",0.0502226680064294,"AkwaIbom","ALL"
1993,"50%",0.0544371175242982,"AkwaIbom","ALL"
1994,"50%",0.0579598972556035,"AkwaIbom","ALL"
1995,"50%",0.0620018627277808,"AkwaIbom","ALL"
1996,"50%",0.0666796407163315,"AkwaIbom","ALL"
1997,"50%",0.0710785484073396,"AkwaIbom","ALL"
1998,"50%",0.0770942242135641,"AkwaIbom","ALL"
1999,"50%",0.0825331984139674,"AkwaIbom","ALL"
2000,"50%",0.0881438655849822,"AkwaIbom","ALL"
2001,"50%",0.0939178071351437,"AkwaIbom","ALL"
2002,"50%",0.100217413151856,"AkwaIbom","ALL"
2003,"50%",0.10617718520714,"AkwaIbom","ALL"
2004,"50%",0.115593379436878,"AkwaIbom","ALL"
2005,"50%",0.125957489486885,"AkwaIbom","ALL"
2006,"50%",0.136557286765787,"AkwaIbom","ALL"
2007,"50%",0.145987122139632,"AkwaIbom","ALL"
2008,"50%",0.154238728153317,"AkwaIbom","ALL"
2009,"50%",0.154721426570413,"AkwaIbom","ALL"
2010,"50%",0.15268882284778,"AkwaIbom","ALL"
2011,"50%",0.151004564660839,"AkwaIbom","ALL"
2012,"50%",0.150535981559864,"AkwaIbom","ALL"
2013,"50%",0.148236526887727,"AkwaIbom","ALL"
2014,"50%",0.146034893483263,"AkwaIbom","ALL"
2015,"50%",0.144294378458456,"AkwaIbom","ALL"
2016,"50%",0.143516436090359,"AkwaIbom","ALL"
2017,"50%",0.146039840320206,"AkwaIbom","ALL"
2018,"50%",0.148914851432788,"AkwaIbom","ALL"
2019,"50%",0.153638059044107,"AkwaIbom","ALL"
2020,"50%",0.159779444975485,"AkwaIbom","ALL"
2021,"50%",0.165454998079575,"AkwaIbom","ALL"
2022,"50%",0.171496005221003,"AkwaIbom","ALL"
2023,"50%",0.179516817265317,"AkwaIbom","ALL"
2024,"50%",0.185648452340859,"AkwaIbom","ALL"
2025,"50%",0.192303094434862,"AkwaIbom","ALL"
2026,"50%",0.1969454010647,"AkwaIbom","ALL"
2027,"50%",0.203609868820128,"AkwaIbom","ALL"
2028,"50%",0.210891715487669,"AkwaIbom","ALL"
2029,"50%",0.21708585695069,"AkwaIbom","ALL"
2030,"50%",0.223277926461053,"AkwaIbom","ALL"
1970,"50%",0.00894163612269811,"Anambra","ALL"
1971,"50%",0.00956576180246311,"Anambra","ALL"
1972,"50%",0.0103723914667956,"Anambra","ALL"
1973,"50%",0.0113178326096917,"Anambra","ALL"
1974,"50%",0.0123272921406804,"Anambra","ALL"
1975,"50%",0.0135718054568446,"Anambra","ALL"
1976,"50%",0.0143752148078494,"Anambra","ALL"
1977,"50%",0.0157484072145949,"Anambra","ALL"
1978,"50%",0.0167848304742547,"Anambra","ALL"
1979,"50%",0.0181681920191009,"Anambra","ALL"
1980,"50%",0.0192930311127787,"Anambra","ALL"
1981,"50%",0.0207766483097852,"Anambra","ALL"
1982,"50%",0.0225798841625773,"Anambra","ALL"
1983,"50%",0.0243906402679117,"Anambra","ALL"
1984,"50%",0.0258867451812423,"Anambra","ALL"
1985,"50%",0.0277426481267481,"Anambra","ALL"
1986,"50%",0.0296840094734556,"Anambra","ALL"
1987,"50%",0.0322323858094156,"Anambra","ALL"
1988,"50%",0.0350475481585753,"Anambra","ALL"
1989,"50%",0.0373129088344423,"Anambra","ALL"
1990,"50%",0.0397144758371984,"Anambra","ALL"
1991,"50%",0.0426617235523838,"Anambra","ALL"
1992,"50%",0.0458629743825538,"Anambra","ALL"
1993,"50%",0.0491970134515255,"Anambra","ALL"
1994,"50%",0.0527364933651434,"Anambra","ALL"
1995,"50%",0.0561002818660356,"Anambra","ALL"
1996,"50%",0.059956504134364,"Anambra","ALL"
1997,"50%",0.0645528878644052,"Anambra","ALL"
1998,"50%",0.0689899384391392,"Anambra","ALL"
1999,"50%",0.072939005485086,"Anambra","ALL"
2000,"50%",0.0774962982282375,"Anambra","ALL"
2001,"50%",0.0819716149752561,"Anambra","ALL"
2002,"50%",0.0871095719869974,"Anambra","ALL"
2003,"50%",0.0923327042583544,"Anambra","ALL"
2004,"50%",0.0998367398777037,"Anambra","ALL"
2005,"50%",0.106657390216584,"Anambra","ALL"
2006,"50%",0.114473695765683,"Anambra","ALL"
2007,"50%",0.121843763869941,"Anambra","ALL"
2008,"50%",0.132486710838564,"Anambra","ALL"
2009,"50%",0.135591729648237,"Anambra","ALL"
2010,"50%",0.134739214877329,"Anambra","ALL"
2011,"50%",0.132857418573985,"Anambra","ALL"
2012,"50%",0.127057326340418,"Anambra","ALL"
2013,"50%",0.121514384465154,"Anambra","ALL"
2014,"50%",0.129452349691266,"Anambra","ALL"
2015,"50%",0.137641917556575,"Anambra","ALL"
2016,"50%",0.14677911868409,"Anambra","ALL"
2017,"50%",0.155700081930102,"Anambra","ALL"
2018,"50%",0.162627668625588,"Anambra","ALL"
2019,"50%",0.172059560046835,"Anambra","ALL"
2020,"50%",0.181993015078502,"Anambra","ALL"
2021,"50%",0.190800367483697,"Anambra","ALL"
2022,"50%",0.199116689522978,"Anambra","ALL"
2023,"50%",0.206540811964386,"Anambra","ALL"
2024,"50%",0.214333882385257,"Anambra","ALL"
2025,"50%",0.223748276446963,"Anambra","ALL"
2026,"50%",0.230661264518722,"Anambra","ALL"
2027,"50%",0.23821255544652,"Anambra","ALL"
2028,"50%",0.248111258618214,"Anambra","ALL"
2029,"50%",0.253427361116347,"Anambra","ALL"
2030,"50%",0.260841162774082,"Anambra","ALL"
1970,"50%",0.00313449960268729,"Bauchi","ALL"
1971,"50%",0.00343371538320344,"Bauchi","ALL"
1972,"50%",0.00371362252663258,"Bauchi","ALL"
1973,"50%",0.00406540969430316,"Bauchi","ALL"
1974,"50%",0.00438186868494106,"Bauchi","ALL"
1975,"50%",0.00487753444082556,"Bauchi","ALL"
1976,"50%",0.00541400888637045,"Bauchi","ALL"
1977,"50%",0.00580716354094628,"Bauchi","ALL"
